Country,confirmed,cases.travel,cases.outside,cases.unknown
Singapore,28,21,7,0
Japan boat,25,21,4,0
Republic of Korea,23,10,11,2
Australia,14,14,0,0
Malaysia,12,9,2,1
Vietnam,10,7,3,0
Phillipines,3,2,0,1
Cambodia,1,1,0,0
Thailand,25,21,4,0
India,3,3,0,0
Nepal,1,1,0,0
Sri lanka,1,1,0,0
USA,12,10,2,0
Canada,5,3,0,2
Germany,12,2,10,0
France,6,5,1,0
Italy,2,2,0,0
Russian Federation,2,2,0,0
UK,2,1,1,0
Belgium,1,1,0,0
Finland,1,1,0,0
Spain,1,0,1,0
Sweden,1,1,0,0
UAE,5,5,0,0
Japan boat,20,0,0,20